央视 CCTV_,#genre#
辽宁卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/9291c40ec1cec1281638720c74c7245f/master.m3u8
安徽卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/5b0447ba48dbb6be1c286bab83f77e39/master.m3u8
湖北卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/55fc65ef82e92d0e1ccb2b3f200a7529/master.m3u8
深圳卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/20831bb807a45638cfaf81df1122024d/master.m3u8
南方卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/d251252558c2bb133f0284d37b1293ba/master.m3u8
浙江卫视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/590e187a8799b1890175d25ec85ea352/master.m3u8
香港 HongKong_,#genre#
TVB翡翠台,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/263ef8e25e9d14599c49b2169d133840/master.m3u8
TVB无线新闻,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/4c1fc85012b63c1b8c4372dee724313d/master.m3u8
TVBJ2,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/ff3511d1d98878c3b9d2c4cb220baa24/master.m3u8
TVB明珠,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/b3ef2974544bd54afed596f2e9cb21cc/master.m3u8
TVB功夫,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/9ef99cc1259a2b2ca534bb73a2a095e2/master.m3u8
Tvb功夫台 国语,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/8255ce33982b5bb079cde31414a17562/master.m3u8
TVB星河,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/b71ea0a94348ba3eb862353aee89e46c/master.m3u8
Tvb 星河  国语,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/8e2d8e58a73cee77693e51c9e6ced765/master.m3u8
TVB戏曲,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/22cbdb708feceea350cd1f1053f0b945/master.m3u8
TVB娱乐新闻,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/3598ddf579ae506d9018d683b2aa11d5/master.m3u8
TVB 亚洲剧,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/c1bc67ae37466d6ee670ff2b119867ed/master.m3u8
TVB 华语剧,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/6fc002d175b34516d29f843a125f2cae/master.m3u8
KIX,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/ab2f36db6da07f13853aed92bc063987/master.m3u8
天映经典,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/d5803f7d6ba368edbad99cba5e87f49d/master.m3u8
Thrill,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/a5f799ea7465e196f726736ff8551980/master.m3u8
PoPc 电影台,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/3dc62426022fbd57f93e0084a8a2059d/master.m3u8
viu6tv,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/43973ad15735334311457919c5180b24/master.m3u8
viutv,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/c023187e5a2cac2dc9defbb158ad2072/master.m3u8
NOW财经,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/519d40a414fc0bf7d6d69b48e05af00e/master.m3u8
NOW直播,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/18737af27537a81c06079c3fb00b8eb6/master.m3u8
NOW新闻,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/b4d469920c01b08a3b76e30de55df4e3/master.m3u8
Now 爆谷星影台,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/57a965e0eaeeecdc9183548b26125320/master.m3u8
Now 爆谷台,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/b3d36af7a37565a65b0f01b73a8ed615/master.m3u8
Now Sports Prime,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/8de4698ce5a3b019dc8f8b7e8a2435d1/master.m3u8
NOW华剧,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/92c08a1e69d56e85fde2eb0f245b6843/master.m3u8
Now Viu剧集台,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/176b0187add3bdbd31787791b4c2286c/master.m3u8
RTHK31,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/e48c6e66705ee6d3d9a66e7f303d805a/master.m3u8
RTHK32,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/d3fd85166b5abb79502d872ec49b1f61/master.m3u8
RTHK33,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/43630e3fe51b9f7348ff8b7232179fce/master.m3u8
凤凰资讯,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/69b4fa3be19bdf400df34e41b93636a4/master.m3u8
凤凰中文台,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/9936695abc4b24ad02c83f4a41796871/master.m3u8
凤凰香港,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/aff37a7016d2f0ae2cab0c213a506bc0/master.m3u8
有线18台赛马-,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/c2091359e2dc48a979fbd1392075931e/master.m3u8
美亚电影(香港),http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/d30d344916733261d6a4040db8783b93/master.m3u8
Now Sports  1,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/5f42fde88267f18d0278da006b2cc0aa/master.m3u8
Now Sports 2,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/86b7c6c423d78b1608fe70fb4e08edb0/master.m3u8
Now Sports 3,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/a3d15102520b304aa473fa4d83d17e90/master.m3u8
Now Sports 4,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/352cbdf2cc5ba7bc329354d7508ca277/master.m3u8
Now Sports 5,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/3e46d7468acbfd95882da25899b39566/master.m3u8
Now Sports 6,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/0af6e32445b9bffccceb87b732dbb710/master.m3u8
